S.AG.-KAME.NET;4;2;2;0;0;0;14
PEÑA CARBAYEDO;4;1;2;1;0;0;12
XAREU;4;1;2;1;0;0;12
BAR CAMPY;4;1;1;1;1;0;10
CAFETERÍA VALSA;4;1;1;1;1;0;10
CAFÉ BAR ÉBANO;3;1;2;0;0;0;10
CASA TERE;4;1;1;1;1;0;10
CÉLTICA;4;0;2;2;0;0;10
S.AG.-RÍAS BAIXAS;4;0;3;0;1;0;10
AC MUS VEIGA;4;2;0;0;1;1;9
BAR D'ANDREA;4;1;0;2;1;0;9
BAR LA ARENA;4;1;1;1;0;1;9
S.AG.-CÉLTICA;4;0;2;1;1;0;9
4 VIENTOS;4;0;1;2;0;1;7
RINCÓN DE CAROL;4;0;1;1;2;0;7
VALSA MUS;4;1;0;1;1;1;7
8 VILLAS;4;0;1;1;1;1;6
BAR HABANA;4;0;1;1;1;1;6
C'LOLO;4;0;0;2;2;0;6
CAFÉ BAR PIOL;4;0;0;2;2;0;6
CASA GERMÁN;3;1;0;0;2;0;6
LA BREÑA;4;0;0;3;0;1;6
CHURRERÍA;4;0;0;2;1;1;5
LA PICOSA;3;0;0;2;1;0;5
SIDRERÍA ALBORADA;4;0;0;2;1;1;5
MUS EL CHALANÍN;4;0;0;0;2;2;2
PEÑA MUS MONCHI;3;0;0;0;0;3;0
